Designator,Mid X,Mid Y,Rotation,Layer
C1,19.1,16.01,0.0,top
C10,26.77,12.11,0.0,top
C11,27.686,24.638,0.0,top
C12,-16.764,-6.858,-90.0,top
C13,-22.352,-9.652,-90.0,top
C14,29.79,8.17,0.0,top
C15,38.74,23.05,0.0,top
C16,-18.288,-7.366,-90.0,top
C17,40.08,25.56,0.0,top
C18,35.87,22.61,0.0,top
C19,18.31,7.62,0.0,top
C2,19.1,19.02,0.0,top
C20,24.05,8.62,0.0,top
C21,23.368,22.098,0.0,top
C22,-21.082,-6.858,-90.0,top
C23,37.32,17.14,0.0,top
C24,-15.748,-9.652,90.0,top
C25,-19.558,-7.366,-90.0,top
C26,19.05,22.098,0.0,top
C27,42.95,25.56,0.0,top
C28,18.31,5.65,0.0,top
C29,41.61,21.62,0.0,top
C3,21.18,7.62,0.0,top
C30,32.91,13.15,0.0,top
C31,35.59,19.6,0.0,top
C32,24.05,6.65,0.0,top
C33,19.05,24.638,0.0,top
C34,21.18,5.65,0.0,top
C35,29.64,12.11,0.0,top
C36,31.58,17.09,0.0,top
C37,34.45,17.09,0.0,top
C38,38.74,21.08,0.0,top
C39,26.92,10.14,0.0,top
C4,41.61,23.59,0.0,top
C40,38.46,19.11,0.0,top
C41,32.66,11.18,0.0,top
C42,32.91,15.12,0.0,top
C43,26.92,6.2,0.0,top
C44,29.79,10.14,0.0,top
C45,-26.162,-13.716,90.0,top
C46,-28.448,-13.716,90.0,top
C47,-18.796,-15.367,-90.0,top
C48,-11.938,-13.716,90.0,top
C49,-9.652,-13.716,90.0,top
C5,27.17,14.08,0.0,top
C50,55.408,-73.038,0.0,top
C51,80.242999,-41.412999,0.0,top
C52,82.55,-48.26,0.0,top
C53,48.514,-13.462,180.0,top
C54,101.092,-55.118,0.0,top
C55,49.784,-24.638,180.0,top
C56,47.388,-83.078,0.0,top
C57,67.408,-67.098,0.0,top
C58,47.958,-73.308,0.0,top
C59,75.708,-56.138,0.0,top
C6,35.78,15.12,0.0,top
C60,-21.899,32.027,0.0,top
C61,46.736,-9.144,180.0,bottom
C62,48.006,-19.812,180.0,bottom
C63,11.43,-46.228,0.0,top
C64,-43.502,-40.386,0.0,top
C65,-39.692,-40.386,0.0,top
C66,23.33,13.37,0.0,top
C67,23.29,10.86,0.0,top
C68,87.974999,-34.494999,0.0,top
C69,91.414999,-36.734999,0.0,top
C7,26.92,8.17,0.0,top
C70,87.404999,-39.244999,0.0,top
C71,87.475,-49.53,0.0,top
C72,75.708,-54.168,0.0,top
C73,78.105,-49.49,0.0,top
C74,79.954999,-42.024999,0.0,top
C75,83.964999,-37.004999,0.0,top
C76,1.639,-43.194,0.0,top
C8,35.78,13.15,0.0,top
C9,30.04,14.08,0.0,top
C93,23.368,24.638,0.0,top
D1,-14.224,-26.67,90.0,top
D14,19.05,10.16,0.0,top
D15,32.31,22.06,0.0,top
D2,-25.4,-22.352,90.0,top
D3,-12.7,-26.67,90.0,top
D4,-11.176,-26.67,90.0,top
D6,-23.622,-22.352,90.0,top
D8,-22.098,-25.908,90.0,top
D9,-12.65,-31.129,-90.0,top
FL1,49.022,-11.176,0.0,top
FL2,49.022,-7.366,0.0,top
FL3,50.292,-22.098,0.0,top
FL4,50.292,-18.288,0.0,top
FL5,7.62,-33.274,180.0,top
FL6,7.62,-37.338,180.0,top
J1,110.167,-4.104,180.0,top
J11,18.542,-79.502,180.0,top
J12,34.798,-79.502,180.0,top
J13,53.271,-13.248,180.0,top
J14,53.271,-24.17,180.0,top
J15,4.641,-31.71,0.0,top
J2,86.291,2.246,180.0,top
J3,-40.132,-3.556,0.0,top
J5,-1.0,-15.542,0.0,top
J6,4.87,-1.27,90.0,top
J7,-45.212,-3.556,0.0,top
J8,-42.672,-3.556,0.0,top
J9,69.325,62.437,0.0,top
L1,32.43,25.07,0.0,top
L2,27.94,19.05,0.0,top
L3,27.686,22.098,0.0,top
L4,23.53,16.1,0.0,top
L5,19.08,13.03,0.0,top
L6,23.53,19.05,0.0,top
L7,-24.892,-9.144,0.0,top
L8,-13.208,-9.144,0.0,top
L9,-35.814,-35.56,0.0,top
R1,-21.844,-14.478,180.0,top
R10,-12.7,-23.622,-90.0,top
R11,-25.4,-19.304,-90.0,top
R12,-11.176,-20.574,-90.0,top
R13,87.974999,-37.004999,0.0,top
R14,44.45,-7.62,-90.0,bottom
R15,79.954999,-39.514999,0.0,top
R16,45.72,-18.542,-90.0,bottom
R17,75.944999,-39.514999,0.0,top
R18,75.944999,-37.004999,0.0,top
R19,44.45,-10.668,90.0,bottom
R2,-21.082,-16.637,90.0,top
R20,45.72,-21.336,90.0,bottom
R21,47.958,-70.508,0.0,top
R22,32.15,19.33,0.0,top
R23,51.968,-73.018,0.0,top
R24,79.954999,-37.004999,0.0,top
R25,73.66,-48.26,0.0,top
R26,7.112,-45.466,0.0,top
R27,-2.371,-43.194,0.0,top
R28,43.948,-75.528,0.0,top
R3,-16.256,-14.478,180.0,top
