Designator,Mid X,Mid Y,Rotation,Layer
C1,94.234,-119.126,0.0,top
C10,99.974,-119.126,0.0,top
C11,97.104,-119.126,0.0,top
C12,142.214,-113.676,0.0,top
C13,95.624,-95.346,0.0,top
C14,101.274,-95.346,0.0,top
C15,111.424,-96.946,0.0,top
C16,117.314,-88.886,0.0,top
C17,116.954,-99.476,0.0,top
C18,116.524,-91.376,0.0,top
C19,112.064,-93.936,0.0,top
C2,109.154,-112.206,0.0,top
C20,100.674,-98.526,0.0,top
C21,133.574,-88.636,0.0,top
C22,111.214,-99.436,0.0,top
C23,114.084,-99.476,0.0,top
C24,95.624,-98.696,0.0,top
C25,101.914,-89.056,0.0,top
C26,161.524,-83.586,0.0,top
C27,176.754,-79.376,0.0,top
C28,184.224,-68.026,0.0,top
C29,184.224,-70.536,0.0,top
C3,113.304,-105.046,0.0,top
C30,188.234,-68.026,0.0,top
C31,172.744,-79.376,0.0,top
C32,172.744,-81.886,0.0,top
C33,165.534,-83.586,0.0,top
C34,176.184,-81.616,0.0,top
C35,187.664,-70.266,0.0,top
C36,168.974,-83.316,0.0,top
C37,183.654,-72.776,0.0,top
C4,113.304,-107.556,0.0,top
C5,116.744,-107.286,0.0,top
C6,120.754,-104.776,0.0,top
C7,105.714,-119.126,0.0,top
C8,112.594,-112.306,0.0,top
C9,102.844,-119.126,0.0,top
D4,108.344,-99.436,0.0,top
J1,109.224,-105.466,0.0,top
J3,-58.42,-50.8,0.0,top
J4,-14.647,-20.828,90.0,top
J5,-108.458,-46.482,120.0,top
L1,107.289,-90.106,0.0,top
L2,112.464,-89.906,0.0,top
L3,106.649,-95.556,0.0,top
R1,109.154,-114.716,0.0,top
R10,120.544,-93.656,0.0,top
R11,124.554,-93.656,0.0,top
R12,101.094,-91.986,0.0,top
R13,121.544,-88.636,0.0,top
R14,123.674,-98.676,0.0,top
R15,115.654,-97.236,0.0,top
R16,127.684,-96.166,0.0,top
R17,133.574,-91.146,0.0,top
R18,129.564,-91.146,0.0,top
R19,123.674,-96.166,0.0,top
R2,109.154,-109.696,0.0,top
R20,128.564,-93.656,0.0,top
R21,119.664,-97.236,0.0,top
R22,125.554,-91.146,0.0,top
R23,154.914,-89.186,0.0,top
R24,150.904,-89.186,0.0,top
R3,113.164,-110.066,0.0,top
R4,117.314,-105.046,0.0,top
R5,104.904,-99.536,0.0,top
R6,121.544,-91.146,0.0,top
R7,129.564,-88.636,0.0,top
R8,132.574,-93.656,0.0,top
R9,125.554,-88.636,0.0,top
RSENSE1,162.324,-80.226,0.0,top
RSENSE2,167.934,-80.226,0.0,top
U1,99.974,-110.966,0.0,top
U10,149.606,-128.27,-90.0,bottom
U11,138.204,-110.466,0.0,top
U12,143.354,-110.466,0.0,top
U13,127.904,-110.466,0.0,top
U14,127.904,-106.016,0.0,top
U15,138.204,-106.016,0.0,top
U16,116.414,-94.206,0.0,top
U17,95.944,-90.526,0.0,top
U18,176.544,-72.446,0.0,top
U19,165.194,-72.446,0.0,top
U20,84.582,-109.474,0.0,top
U3,133.054,-114.916,0.0,top
U4,138.204,-114.916,0.0,top
U6,149.86,-109.22,-90.0,bottom
U7,149.86,-113.284,-90.0,bottom
U8,133.054,-110.466,0.0,top
U9,149.606,-124.206,-90.0,bottom
