Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C23, C24",1210,4,4.7µF,
"C11, C17, C2, C25, C30, C8",0603,6,4.7µF,
"C12, C14, C18, C20, C26, C28, C3, C31, C33, C35, C36, C39, C41, C43, C45, C47, C49, C51, C53, C55, C57, C59, C6, C62, C64, C65, C67, C9",0603,28,0.1µF,
"C13, C16, C27, C29, C32, C34, C5, C7",CP_EIA-7343-15_Kemet-W,8,47µF,
"C15, C4",0603,2,2.2pF,
C19,0603,1,10pF,
"C21, C61",0603,2,1µF,
C22,0603,1,10nF,
"C37, C40, C42, C44, C46, C48, C50, C52, C54, C56, C58, C60",0603,12,1nF,
C38,0603,1,47nF,
C63,0603,1,10µF,
C66,0603,1,OPT,
"D1, D2",D_SMB,2,SMBJ36CA,
"H1, H2, H3, H4",MountingHole_0.116in_Pad,4,4-40 hole,
"H5, H6, H7",MountingHole_0.089in_Pad,3,2-56 hole,
J1,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
J2,Harwin_Gecko-G125-MH10805M4-2AD2ADP_Horizontal,1,Gecko,
J3,Harwin_JTek-Male_2x25_P2.00mm_Vertical,1,Conn_02x25_Row_Letter_First,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SHORT_CLEAN+28V,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SHORT_CLEAN_RETURN,
"JP3, JP4, JP5",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,3,CHOOSE_PI_FB,
JP6,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,CONNECT_5V_local,
JP7,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SHORT_CHASSIS,
JP8,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,CHOOSE_28Vsense,
JP9,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,CHOOSE_28Vret,
"L1, L2, L3",0805,3,120Ω,
"L4, L6",L_10.4x10.4_H4.8,2,2.2µH,
"L5, L7",L_TDK_SPM5030,2,1µH,
L8,L_10.4x10.4_H4.8,1,4.7µH,
L9,L_TDK_SPM5030,1,2.2µH,
"R1, R5",0603,2,41.2kΩ 1%,
R10,0603,1,20kΩ,
R11,0603,1,68kΩ,
R12,0603,1,50kΩ 1%,
"R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R26, R27, R28",0603,15,680Ω,
"R2, R6, R9",0603,3,1MΩ,
R25,0603,1,8.2kΩ 1%,
"R29, R30, R31, R32, R33, R34, R35, R36, R37",0603,9,10kΩ,
R3,0603,1,15kΩ,
"R38, R39, R40",1210,3,4.7Ω,
"R4, R8",0603,2,200kΩ,
"R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52",0603,12,1kΩ,
"R53, R54, R55, R56, R57",0603,5,1kΩ 1%,
R58,0603,1,3kΩ 1%,
R59,0603,1,680Ω 1%,
R7,0603,1,34kΩ,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_THTPad_D1.5mm_Drill0.7mm,22,TestPoint,
"U1, U2",LQFN-32-6EP_4x6mm_P0.5mm,2,LT8645S,
"U10, U13, U14, U17, U18, U25, U26, U27, U28, U29, U30, U5",SOIC-8_3.9x4.9mm_P1.27mm,12,ACS724xLCTR-10AB,
"U11, U12, U15, U16, U31, U7",LDFN-4_2.1x3.4mm,6,G3VM-31WR,
"U19, U20, U21, U22, U23, U24, U32, U33",LDFN-4_2.1x3.4mm,8,G3VM-61WR,
U3,QFN-28-1EP_3x6mm_P0.5mm_EP1.7x4.75mm,1,LT8612,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,AD780,
U6,LFCSP-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,1,AD7490BCPZ,
U8,QSOP-16_3.9x4.9mm_P0.635mm,1,MAX7317,
U9,SOT-23-5,1,74AHC1G125,
